Operand 1  | Operand 2  | Result     | Values
--------------------------------------------------------------------------------------------------
00000000 | 00000000 | 00000111 |     1.0000000000 +     1.0000000000 =     1.8750000000
00000000 | 00000001 | 00000111 |     1.0000000000 +     1.1250000000 =     1.8750000000
00000000 | 00000010 | 00000111 |     1.0000000000 +     1.2500000000 =     1.8750000000
00000000 | 00000011 | 00000111 |     1.0000000000 +     1.3750000000 =     1.8750000000
00000000 | 00000100 | 00000111 |     1.0000000000 +     1.5000000000 =     1.8750000000
00000000 | 00000101 | 00000111 |     1.0000000000 +     1.6250000000 =     1.8750000000
00000000 | 00000110 | 00000111 |     1.0000000000 +     1.7500000000 =     1.8750000000
00000000 | 00000111 | 00000111 |     1.0000000000 +     1.8750000000 =     1.8750000000
00000000 | 00001000 | 00000100 |     1.0000000000 +     0.5000000000 =     1.5000000000
00000000 | 00001001 | 00000100 |     1.0000000000 +     0.5625000000 =     1.5000000000
00000000 | 00001010 | 00000101 |     1.0000000000 +     0.6250000000 =     1.6250000000
00000000 | 00001011 | 00000101 |     1.0000000000 +     0.6875000000 =     1.6250000000
00000000 | 00001100 | 00000110 |     1.0000000000 +     0.7500000000 =     1.7500000000
00000000 | 00001101 | 00000110 |     1.0000000000 +     0.8125000000 =     1.7500000000
00000000 | 00001110 | 00000111 |     1.0000000000 +     0.8750000000 =     1.8750000000
00000000 | 00001111 | 00000111 |     1.0000000000 +     0.9375000000 =     1.8750000000
00000001 | 00000000 | 00000111 |     1.1250000000 +     1.0000000000 =     1.8750000000
00000001 | 00000001 | 00000111 |     1.1250000000 +     1.1250000000 =     1.8750000000
00000001 | 00000010 | 00000111 |     1.1250000000 +     1.2500000000 =     1.8750000000
00000001 | 00000011 | 00000111 |     1.1250000000 +     1.3750000000 =     1.8750000000
00000001 | 00000100 | 00000111 |     1.1250000000 +     1.5000000000 =     1.8750000000
00000001 | 00000101 | 00000111 |     1.1250000000 +     1.6250000000 =     1.8750000000
00000001 | 00000110 | 00000111 |     1.1250000000 +     1.7500000000 =     1.8750000000
00000001 | 00000111 | 00000111 |     1.1250000000 +     1.8750000000 =     1.8750000000
00000001 | 00001000 | 00000101 |     1.1250000000 +     0.5000000000 =     1.6250000000
00000001 | 00001001 | 00000101 |     1.1250000000 +     0.5625000000 =     1.6250000000
00000001 | 00001010 | 00000110 |     1.1250000000 +     0.6250000000 =     1.7500000000
